country,admin1,admin2,admin3,filename
Kenya,West Pokot,unknown 3,unknown 3,cycles-1.54167-35.12500.soil_weather.zip
Kenya,Samburu,Samburu North,Nachola,cycles-1.45833-36.37500.soil_weather.zip
Kenya,Kisumu,Kisumu West,North West Kisumu,cycles--0.04167-34.62500.soil_weather.zip
Kenya,West Pokot,Kacheliba,Suam,cycles-1.54167-34.95833.soil_weather.zip
Kenya,West Pokot,Pokot South,Chepareria,cycles-1.45833-35.29167.soil_weather.zip
Kenya,Mandera,Mandera South,Shimbir Fatuma,cycles-3.04167-41.04167.soil_weather.zip
Kenya,Kitui,Kitui Central,Kyangwithya West,cycles--1.37500-37.95833.soil_weather.zip
Kenya,Nyandarua,Ol Kalou,Rurii,cycles--0.20833-36.37500.soil_weather.zip
Kenya,Meru,Central Imenti,Abothuguchi West,cycles--0.04167-37.87500.soil_weather.zip
Kenya,Nyandarua,Ol Kalou,Mirangine,cycles--0.12500-36.20833.soil_weather.zip
Kenya,Meru,South Imenti,Mitunguu,cycles--0.12500-37.79167.soil_weather.zip
Kenya,Kericho,Kipkelion East,Tendeno/Sorget,cycles--0.04167-35.62500.soil_weather.zip
Kenya,Nakuru,Bahati,Kabatini,cycles--0.20833-36.12500.soil_weather.zip
Kenya,Nyeri,Kieni,Mwiyogo/Endarasha,cycles--0.29167-36.87500.soil_weather.zip
Kenya,Kericho,Kipkelion East,Chepseon,cycles--0.20833-35.45833.soil_weather.zip
Kenya,Kericho,Ainamoi,Kipchebor,cycles--0.37500-35.29167.soil_weather.zip
Kenya,Homa Bay,Kasipul,Central Kasipul,cycles--0.45833-34.70833.soil_weather.zip
Kenya,Kajiado,Kajiado East,Oloosirkon/Sholinke,cycles--1.54167-36.79167.soil_weather.zip
Kenya,Narok,Narok West,Naikarra,cycles--1.70833-35.29167.soil_weather.zip
Kenya,Lamu,Lamu East,Basuba,cycles--1.95833-41.12500.soil_weather.zip
Kenya,Kitui,Kitui South,Kanziko,cycles--2.20833-38.62500.soil_weather.zip
Kenya,Murang'a,Maragwa,Kambiti,cycles--0.79167-37.20833.soil_weather.zip
Kenya,Kitui,Mwingi Central,Kivou,cycles--0.87500-38.12500.soil_weather.zip
Kenya,Machakos,Machakos Town,Mua,cycles--1.37500-37.20833.soil_weather.zip
Kenya,Machakos,Kangundo,Kangundo East,cycles--1.37500-37.37500.soil_weather.zip
Kenya,Kilifi,Rabai,Mwawesa,cycles--3.95833-39.62500.soil_weather.zip
Kenya,Kilifi,Kaloleni,Mariakani,cycles--3.87500-39.54167.soil_weather.zip
Kenya,Busia,Butula,Marachi North,cycles-0.37500-34.37500.soil_weather.zip
Kenya,Baringo,Baringo Central,Sacho,cycles-0.37500-35.70833.soil_weather.zip
Kenya,Wajir,Wajir North,Batalu,cycles-2.79167-39.70833.soil_weather.zip
Kenya,Homa Bay,Kabondo Kasipul,Kokwanyo/Kakelo,cycles--0.45833-34.79167.soil_weather.zip
Kenya,Kakamega,Shinyalu,Isukha Central,cycles-0.20833-34.87500.soil_weather.zip
Kenya,Tana River,Bura,Hirimani,cycles--0.79167-39.20833.soil_weather.zip
Kenya,Narok,Kilgoris,Kilgoris Central,cycles--1.12500-34.87500.soil_weather.zip
Kenya,Uasin Gishu,Moiben,Moiben,cycles-0.70833-35.37500.soil_weather.zip
Kenya,Meru,Tigania West,Akithii,cycles-0.20833-37.70833.soil_weather.zip
Kenya,Narok,Kilgoris,Kimintet,cycles--1.20833-34.87500.soil_weather.zip
Kenya,Elgeyo-Marakwet,Keiyo South,Kabiemit,cycles-0.29167-35.54167.soil_weather.zip
Kenya,Meru,Tigania East,Muthara,cycles-0.29167-37.79167.soil_weather.zip
Kenya,Isiolo,Isiolo South,Garbatulla,cycles-0.45833-38.45833.soil_weather.zip
Kenya,Nairobi,Dagoretti South,Waithaka,cycles--1.29167-36.70833.soil_weather.zip
Kenya,Samburu,Samburu West,Suguta Marmar,cycles-0.87500-36.54167.soil_weather.zip
Kenya,Nairobi,Embakasi East,Embakasi,cycles--1.29167-36.95833.soil_weather.zip
Kenya,Samburu,Samburu North,Baawa,cycles-1.29167-36.79167.soil_weather.zip
Kenya,Migori,Kuria East,Ntimaru West,cycles--1.37500-34.70833.soil_weather.zip
Kenya,Mandera,Banissa,Malkamari,cycles-4.04167-40.45833.soil_weather.zip
Kenya,Makueni,Kibwezi West,Kikumbulyu North,cycles--2.20833-37.95833.soil_weather.zip
Kenya,Vihiga,Luanda,Emabungo,cycles-0.04167-34.62500.soil_weather.zip
Kenya,Siaya,Alego Usonga,West Alego,cycles-0.12500-34.20833.soil_weather.zip
Kenya,Meru,Buuri,Kibirichia,cycles-0.12500-37.54167.soil_weather.zip
Kenya,Laikipia,Laikipia North,Umande,cycles-0.29167-37.12500.soil_weather.zip
Kenya,Kisumu,Nyakach,South West Nyakach,cycles--0.37500-34.87500.soil_weather.zip
Kenya,Elgeyo-Marakwet,Marakwet West,Arror,cycles-0.95833-35.62500.soil_weather.zip
Kenya,Kilifi,Magarini,Gongoni,cycles--2.95833-40.12500.soil_weather.zip
Kenya,Isiolo,Isiolo North,Ngare Mara,cycles-0.79167-38.04167.soil_weather.zip
Kenya,Baringo,Baringo North,Barwessa,cycles-0.87500-35.70833.soil_weather.zip
Kenya,Elgeyo-Marakwet,Marakwet West,Cherang'Any/Chebororwa,cycles-0.95833-35.37500.soil_weather.zip
Kenya,West Pokot,Kacheliba,Kodich,cycles-1.62500-35.04167.soil_weather.zip
Kenya,Siaya,Bondo,Yimbo East,cycles--0.04167-34.20833.soil_weather.zip
Kenya,Kisumu,Nyakach,Central Nyakach,cycles--0.29167-34.87500.soil_weather.zip
Kenya,Tharaka-Nithi,Maara,Mitheru,cycles--0.29167-37.62500.soil_weather.zip
